wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|BIH0KAO1Z YUW1 WIH1L NOW1 DHAE1T AY1 WIH1L BIY1 VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-00074910_00080310.wav|IH1F YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00074160_00080310.wav|VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 . YUW1 KAE1N DUW1 SAH1MTHIH0NG LAY1K MEY1BIY0 IH0N TUW1 WIY1KS SOW1 YUW1 KAE1N DUW1 WAH2TEH1VER0 YUW1 LAY1K .
wavs/9-7-18 clem interviewed by tara_1.wav-00135240_00136350.wav|DHEY1 WER0 LAO1NG AH0ND AH1GLIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00168990_00174780.wav|AH0 LIH1TAH0L YUW1 NOW1 , VIH1LAH0 SMAE1KIH0NG AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00169260_00174780.wav|LIH1TAH0L YUW1 NOW1 , VIH1LAH0 SMAE1KIH0NG AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00170730_00175980.wav|AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00173100_00174780.wav|DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00172080_00175980.wav|LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00173490_00174780.wav|FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00172350_00174780.wav|AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00172770_00174780.wav|GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00170190_00174780.wav|SMAE1KIH0NG AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00171330_00174780.wav|AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00170730_00174780.wav|DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00170730_00174780.wav|AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00169770_00174780.wav|NOW1 , VIH1LAH0 SMAE1KIH0NG AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00169920_00175980.wav|VIH1LAH0 SMAE1KIH0NG AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00172080_00174780.wav|LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00173190_00174780.wav|BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00172470_00174780.wav|RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00174450_00175980.wav|NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00174150_00175980.wav|SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00169620_00175980.wav|YUW1 NOW1 , VIH1LAH0 SMAE1KIH0NG AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00169920_00174780.wav|VIH1LAH0 SMAE1KIH0NG AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00172470_00175980.wav|RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00170190_00175980.wav|SMAE1KIH0NG AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00171630_00174780.wav|CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00169770_00175980.wav|NOW1 , VIH1LAH0 SMAE1KIH0NG AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00171330_00174780.wav|DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00172770_00174780.wav|TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00169620_00174780.wav|YUW1 NOW1 , VIH1LAH0 SMAE1KIH0NG AA1N DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S .
wavs/9-7-18 clem interviewed by tara_1.wav-00173490_00175980.wav|FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00174780_00175980.wav|IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00172350_00175980.wav|AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00173190_00175980.wav|BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00172770_00175980.wav|GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00171630_00175980.wav|CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00173100_00175980.wav|DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00170730_00175980.wav|DHAH0 AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00171330_00175980.wav|DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00172770_00175980.wav|TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00174150_00175980.wav|SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00171330_00175980.wav|AA1N DHAH0 CHIY1KS LEH1FT AH0ND RAY1T TUW1 GEH1T DHAH0 BLAH1D FLOW1IH0NG . SOW1 NAY1S . IH1TS LAY1K AH0 HHOW1L PAE1MPER0IH0NG .
wavs/9-7-18 clem interviewed by tara_1.wav-00175320_00183090.wav|PAE1MPER0IH0NG . WEH1L , AY1 DUW1 DHIH1S OW1LD FAE1SHAH0ND YUW1 NOW1 LEH1DHER0 BEH1LTS AH0ND REY1ZER0 SIH1NGGAH0L REY1ZER0 BLEY1D .
wavs/9-7-18 clem interviewed by tara_1.wav-00175140_00183090.wav|HHOW1L PAE1MPER0IH0NG . WEH1L , AY1 DUW1 DHIH1S OW1LD FAE1SHAH0ND YUW1 NOW1 LEH1DHER0 BEH1LTS AH0ND REY1ZER0 SIH1NGGAH0L REY1ZER0 BLEY1D .
wavs/9-7-18 clem interviewed by tara_1.wav-00176370_00183090.wav|WEH1L , AY1 DUW1 DHIH1S OW1LD FAE1SHAH0ND YUW1 NOW1 LEH1DHER0 BEH1LTS AH0ND REY1ZER0 SIH1NGGAH0L REY1ZER0 BLEY1D .
wavs/9-7-18 clem interviewed by tara_1.wav-00291060_00298290.wav|AO1L , DHEH1R WAA1ZAH0NT SAH1CH AH0 CHEY1NJH IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00294990_00298290.wav|IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00290490_00298290.wav|WEH1L , FER1ST AH1V AO1L , DHEH1R WAA1ZAH0NT SAH1CH AH0 CHEY1NJH IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00290490_00298290.wav|WEH1L , FER1ST AH1V AO1L , DHEH1R WAA1ZAH0NT SAH1CH AH0 CHEY1NJH IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00290490_00296460.wav|WEH1L , FER1ST AH1V AO1L , DHEH1R WAA1ZAH0NT SAH1CH AH0 CHEY1NJH IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 .
wavs/9-7-18 clem interviewed by tara_1.wav-00294990_00298290.wav|DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00293280_00298290.wav|SAH1CH AH0 CHEY1NJH IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00295560_00298290.wav|BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00296460_00298290.wav|SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00293640_00298290.wav|CHEY1NJH IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00290670_00298290.wav|FER1ST AH1V AO1L , DHEH1R WAA1ZAH0NT SAH1CH AH0 CHEY1NJH IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00292740_00298290.wav|DHEH1R WAA1ZAH0NT SAH1CH AH0 CHEY1NJH IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00295830_00298290.wav|AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00296190_00298290.wav|WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00295920_00298290.wav|WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00290940_00298290.wav|AH1V AO1L , DHEH1R WAA1ZAH0NT SAH1CH AH0 CHEY1NJH IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00292920_00298290.wav|WAA1ZAH0NT SAH1CH AH0 CHEY1NJH IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00293280_00298290.wav|AH0 CHEY1NJH IH0N DHAH0 BLAE1K AH0ND WAY1T WEY1 . SOW1 MEH1NIY0 , MEH1NIY0 AO0LREH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00310469_00318030.wav|AE1KCHAH0WAH0LIY0 , IH1T STAA1RTAH0D BIH0KAH1MIH0NG AH0BAW1T DHAH0 IH0NVAY1RAH0NMAH0NT PRIH1TIY0 MAH1CH IH0N TUW1 THAW1ZAH0ND SIH1KS .
wavs/9-7-18 clem interviewed by tara_1.wav-00329430_00337200.wav|RIY1F FAW0NDEY1SHAH0N KER1F . AH0ND DHAH0 VIH1ZHAH0N WAA1Z AO1L DHAH0 TAY1M TUW1 MEY1K AH0 DIH1FER0AH0NS TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT .
wavs/9-7-18 clem interviewed by tara_1.wav-00331590_00337200.wav|AH0ND DHAH0 VIH1ZHAH0N WAA1Z AO1L DHAH0 TAY1M TUW1 MEY1K AH0 DIH1FER0AH0NS TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT .
wavs/9-7-18 clem interviewed by tara_1.wav-00329580_00337200.wav|FAW0NDEY1SHAH0N KER1F . AH0ND DHAH0 VIH1ZHAH0N WAA1Z AO1L DHAH0 TAY1M TUW1 MEY1K AH0 DIH1FER0AH0NS TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT .
wavs/9-7-18 clem interviewed by tara_1.wav-00330090_00337200.wav|KER1F . AH0ND DHAH0 VIH1ZHAH0N WAA1Z AO1L DHAH0 TAY1M TUW1 MEY1K AH0 DIH1FER0AH0NS TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT .
wavs/9-7-18 clem interviewed by tara_1.wav-00336600_00342930.wav|IH0NVAY1RAH0NMAH0NT . YUW1 NOW1 , WIY1 DIH1D DHIH1S KLAY1MAH0T CHEY1NJH AH0WEH1RNAH0S AH0TEH1MPT .
wavs/9-7-18 clem interviewed by tara_1.wav-00335760_00342930.wav|MEY1K AH0 DIH1FER0AH0NS TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT . YUW1 NOW1 , WIY1 DIH1D DHIH1S KLAY1MAH0T CHEY1NJH AH0WEH1RNAH0S AH0TEH1MPT .
wavs/9-7-18 clem interviewed by tara_1.wav-00336420_00342930.wav|DHAH0 IH0NVAY1RAH0NMAH0NT . YUW1 NOW1 , WIY1 DIH1D DHIH1S KLAY1MAH0T CHEY1NJH AH0WEH1RNAH0S AH0TEH1MPT .
wavs/9-7-18 clem interviewed by tara_1.wav-00335250_00342930.wav|DHAH0 TAY1M TUW1 MEY1K AH0 DIH1FER0AH0NS TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT . YUW1 NOW1 , WIY1 DIH1D DHIH1S KLAY1MAH0T CHEY1NJH AH0WEH1RNAH0S AH0TEH1MPT .
wavs/9-7-18 clem interviewed by tara_1.wav-00336420_00342930.wav|TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT . YUW1 NOW1 , WIY1 DIH1D DHIH1S KLAY1MAH0T CHEY1NJH AH0WEH1RNAH0S AH0TEH1MPT .
wavs/9-7-18 clem interviewed by tara_1.wav-00337830_00342930.wav|YUW1 NOW1 , WIY1 DIH1D DHIH1S KLAY1MAH0T CHEY1NJH AH0WEH1RNAH0S AH0TEH1MPT .
wavs/9-7-18 clem interviewed by tara_1.wav-00336030_00342930.wav|DIH1FER0AH0NS TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT . YUW1 NOW1 , WIY1 DIH1D DHIH1S KLAY1MAH0T CHEY1NJH AH0WEH1RNAH0S AH0TEH1MPT .
wavs/9-7-18 clem interviewed by tara_1.wav-00335370_00342930.wav|TAY1M TUW1 MEY1K AH0 DIH1FER0AH0NS TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT . YUW1 NOW1 , WIY1 DIH1D DHIH1S KLAY1MAH0T CHEY1NJH AH0WEH1RNAH0S AH0TEH1MPT .
wavs/9-7-18 clem interviewed by tara_1.wav-00335760_00342930.wav|AH0 DIH1FER0AH0NS TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT . YUW1 NOW1 , WIY1 DIH1D DHIH1S KLAY1MAH0T CHEY1NJH AH0WEH1RNAH0S AH0TEH1MPT .
wavs/9-7-18 clem interviewed by tara_1.wav-00335070_00342930.wav|AO1L DHAH0 TAY1M TUW1 MEY1K AH0 DIH1FER0AH0NS TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT . YUW1 NOW1 , WIY1 DIH1D DHIH1S KLAY1MAH0T CHEY1NJH AH0WEH1RNAH0S AH0TEH1MPT .
wavs/9-7-18 clem interviewed by tara_1.wav-00335640_00342930.wav|TUW1 MEY1K AH0 DIH1FER0AH0NS TUW1 DHAH0 IH0NVAY1RAH0NMAH0NT . YUW1 NOW1 , WIY1 DIH1D DHIH1S KLAY1MAH0T CHEY1NJH AH0WEH1RNAH0S AH0TEH1MPT .
wavs/9-7-18 clem interviewed by tara_1.wav-00367230_00375150.wav|DIH0SKAH1SHAH0N . YUW1 NOW1 , WIY1 DIH1DAH0NT WIY1 WER1AH0NT EY1BAH0L TUW1 PUH1L IH1T AO1F WIY1 DHEH1R WAA1Z NOW1 MAH1NIY0 IH0NFIH1NAH0TIY0 WAA1ZAH0NT REH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00369870_00375150.wav|YUW1 NOW1 , WIY1 DIH1DAH0NT WIY1 WER1AH0NT EY1BAH0L TUW1 PUH1L IH1T AO1F WIY1 DHEH1R WAA1Z NOW1 MAH1NIY0 IH0NFIH1NAH0TIY0 WAA1ZAH0NT REH1DIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-00375570_00379170.wav|SOW1 IH1T WAA1Z IH1T WAA1Z IH0MPAO1RTAH0NT IH0KSPIH1RIY0AH0NS DHOW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-00371460_00379170.wav|AO1F WIY1 DHEH1R WAA1Z NOW1 MAH1NIY0 IH0NFIH1NAH0TIY0 WAA1ZAH0NT REH1DIY0 . SOW1 IH1T WAA1Z IH1T WAA1Z IH0MPAO1RTAH0NT IH0KSPIH1RIY0AH0NS DHOW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-00373320_00379170.wav|MAH1NIY0 IH0NFIH1NAH0TIY0 WAA1ZAH0NT REH1DIY0 . SOW1 IH1T WAA1Z IH1T WAA1Z IH0MPAO1RTAH0NT IH0KSPIH1RIY0AH0NS DHOW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-00373830_00379170.wav|IH0NFIH1NAH0TIY0 WAA1ZAH0NT REH1DIY0 . SOW1 IH1T WAA1Z IH1T WAA1Z IH0MPAO1RTAH0NT IH0KSPIH1RIY0AH0NS DHOW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-00372600_00379170.wav|DHEH1R WAA1Z NOW1 MAH1NIY0 IH0NFIH1NAH0TIY0 WAA1ZAH0NT REH1DIY0 . SOW1 IH1T WAA1Z IH1T WAA1Z IH0MPAO1RTAH0NT IH0KSPIH1RIY0AH0NS DHOW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-00371820_00379170.wav|WIY1 DHEH1R WAA1Z NOW1 MAH1NIY0 IH0NFIH1NAH0TIY0 WAA1ZAH0NT REH1DIY0 . SOW1 IH1T WAA1Z IH1T WAA1Z IH0MPAO1RTAH0NT IH0KSPIH1RIY0AH0NS DHOW1 .
