wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|Because you will know that I will be very very upset if you do.
wavs/9-7-18 clem interviewed by tara_1.wav-00174150_00175980.wav|So nice. It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00169620_00175980.wav|you know, Villa smacking on the on the cheeks left and right to get the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00169920_00174780.wav|Villa smacking on the on the cheeks left and right to get the blood flowing.  So nice.
wavs/9-7-18 clem interviewed by tara_1.wav-00172470_00175980.wav|right to get the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00170190_00175980.wav|smacking on the on the cheeks left and right to get the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00171630_00174780.wav|cheeks left and right to get the blood flowing.  So nice.
wavs/9-7-18 clem interviewed by tara_1.wav-00169770_00175980.wav|know, Villa smacking on the on the cheeks left and right to get the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00171330_00174780.wav|the cheeks left and right to get the blood flowing.  So nice.
wavs/9-7-18 clem interviewed by tara_1.wav-00172770_00174780.wav|to get the blood flowing.  So nice.
wavs/9-7-18 clem interviewed by tara_1.wav-00169620_00174780.wav|you know, Villa smacking on the on the cheeks left and right to get the blood flowing.  So nice.
wavs/9-7-18 clem interviewed by tara_1.wav-00173490_00175980.wav|flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00174780_00175980.wav|It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00172350_00175980.wav|and right to get the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00173190_00175980.wav|blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00172770_00175980.wav|get the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00171630_00175980.wav|cheeks left and right to get the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00173100_00175980.wav|the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00170730_00175980.wav|the on the cheeks left and right to get the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00171330_00175980.wav|the cheeks left and right to get the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00172770_00175980.wav|to get the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00174150_00175980.wav|So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00171330_00175980.wav|on the cheeks left and right to get the blood flowing. So nice.  It's like a whole pampering.
wavs/9-7-18 clem interviewed by tara_1.wav-00175320_00183090.wav|pampering.  Well, I do this old fashioned you know leather belts and razor single razor blade.
wavs/9-7-18 clem interviewed by tara_1.wav-00175140_00183090.wav|whole pampering.  Well, I do this old fashioned you know leather belts and razor single razor blade.
wavs/9-7-18 clem interviewed by tara_1.wav-00176370_00183090.wav|Well, I do this old fashioned you know leather belts and razor single razor blade.
wavs/9-7-18 clem interviewed by tara_1.wav-00291060_00298290.wav|all, there wasn't such a change in the black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00294990_00298290.wav|in the black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00290490_00298290.wav|Well, first of all, there wasn't such a change in the black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00290490_00298290.wav|Well, first of all, there wasn't such a change in the black and white way. So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00290490_00296460.wav|Well, first of all, there wasn't such a change in the black and white way.
wavs/9-7-18 clem interviewed by tara_1.wav-00294990_00298290.wav|the black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00293280_00298290.wav|such a change in the black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00295560_00298290.wav|black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00296460_00298290.wav|So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00293640_00298290.wav|change in the black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00290670_00298290.wav|first of all, there wasn't such a change in the black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00292740_00298290.wav|there wasn't such a change in the black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00295830_00298290.wav|and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00296190_00298290.wav|way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00295920_00298290.wav|white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00290940_00298290.wav|of all, there wasn't such a change in the black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00292920_00298290.wav|wasn't such a change in the black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00293280_00298290.wav|a change in the black and white way.  So many, many already.
wavs/9-7-18 clem interviewed by tara_1.wav-00310469_00318030.wav|Actually, it started becoming about the environment pretty much in 2006.
wavs/9-7-18 clem interviewed by tara_1.wav-00329430_00337200.wav|reef foundation pcrf.  And the vision was all the time to make a difference to the environment.
wavs/9-7-18 clem interviewed by tara_1.wav-00331590_00337200.wav|And the vision was all the time to make a difference to the environment.
wavs/9-7-18 clem interviewed by tara_1.wav-00329580_00337200.wav|foundation pcrf.  And the vision was all the time to make a difference to the environment.
wavs/9-7-18 clem interviewed by tara_1.wav-00330090_00337200.wav|pcrf.  And the vision was all the time to make a difference to the environment.
wavs/9-7-18 clem interviewed by tara_1.wav-00336600_00342930.wav|environment.  You know, we did this climate change awareness attempt.
wavs/9-7-18 clem interviewed by tara_1.wav-00335760_00342930.wav|make a difference to the environment.  You know, we did this climate change awareness attempt.
wavs/9-7-18 clem interviewed by tara_1.wav-00336420_00342930.wav|the environment.  You know, we did this climate change awareness attempt.
wavs/9-7-18 clem interviewed by tara_1.wav-00335250_00342930.wav|the time to make a difference to the environment.  You know, we did this climate change awareness attempt.
wavs/9-7-18 clem interviewed by tara_1.wav-00336420_00342930.wav|to the environment.  You know, we did this climate change awareness attempt.
wavs/9-7-18 clem interviewed by tara_1.wav-00337830_00342930.wav|You know, we did this climate change awareness attempt.
wavs/9-7-18 clem interviewed by tara_1.wav-00336030_00342930.wav|difference to the environment.  You know, we did this climate change awareness attempt.
wavs/9-7-18 clem interviewed by tara_1.wav-00335370_00342930.wav|time to make a difference to the environment.  You know, we did this climate change awareness attempt.
wavs/9-7-18 clem interviewed by tara_1.wav-00335760_00342930.wav|a difference to the environment.  You know, we did this climate change awareness attempt.
wavs/9-7-18 clem interviewed by tara_1.wav-00335070_00342930.wav|all the time to make a difference to the environment.  You know, we did this climate change awareness attempt.
wavs/9-7-18 clem interviewed by tara_1.wav-00335640_00342930.wav|to make a difference to the environment.  You know, we did this climate change awareness attempt.
wavs/9-7-18 clem interviewed by tara_1.wav-00367230_00375150.wav|discussion.  You know, we didn't we weren't able to pull it off we there was no money infinity wasn't ready.
wavs/9-7-18 clem interviewed by tara_1.wav-00369870_00375150.wav|You know, we didn't we weren't able to pull it off we there was no money infinity wasn't ready.
wavs/9-7-18 clem interviewed by tara_1.wav-00375570_00379170.wav|So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00371460_00379170.wav|off we there was no money infinity wasn't ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00373320_00379170.wav|money infinity wasn't ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00373830_00379170.wav|infinity wasn't ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00372600_00379170.wav|there was no money infinity wasn't ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00371820_00379170.wav|we there was no money infinity wasn't ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00371310_00379170.wav|pull it off we there was no money infinity wasn't ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00372780_00379170.wav|no money infinity wasn't ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00372780_00379170.wav|was no money infinity wasn't ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00371220_00379170.wav|to pull it off we there was no money infinity wasn't ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00374700_00379170.wav|ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00374370_00379170.wav|wasn't ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00371460_00379170.wav|it off we there was no money infinity wasn't ready.  So it was it was important experience though.
wavs/9-7-18 clem interviewed by tara_1.wav-00379860_00387780.wav|And, and ever since we've done the entire goal and mission was always doing things for the environment.
wavs/9-7-18 clem interviewed by tara_1.wav-00406530_00413100.wav|never had any money.  So I was always we relied on a crew members making financial contributions.
wavs/9-7-18 clem interviewed by tara_1.wav-00406800_00413100.wav|had any money.  So I was always we relied on a crew members making financial contributions.
wavs/9-7-18 clem interviewed by tara_1.wav-00407670_00413100.wav|So I was always we relied on a crew members making financial contributions.
wavs/9-7-18 clem interviewed by tara_1.wav-00406260_00413100.wav|we never had any money.  So I was always we relied on a crew members making financial contributions.
wavs/9-7-18 clem interviewed by tara_1.wav-00406920_00413100.wav|any money.  So I was always we relied on a crew members making financial contributions.
wavs/9-7-18 clem interviewed by tara_1.wav-00407100_00413100.wav|money.  So I was always we relied on a crew members making financial contributions.
wavs/9-7-18 clem interviewed by tara_1.wav-00453840_00461250.wav|everybody ended up broke and we relied on everybody contributing financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00454560_00461250.wav|up broke and we relied on everybody contributing financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00458550_00461250.wav|And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00456750_00461250.wav|contributing financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00456210_00461250.wav|on everybody contributing financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00457380_00461250.wav|financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00455100_00461250.wav|we relied on everybody contributing financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00455700_00461250.wav|relied on everybody contributing financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00454680_00461250.wav|broke and we relied on everybody contributing financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00454290_00461250.wav|ended up broke and we relied on everybody contributing financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00456330_00461250.wav|everybody contributing financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00455100_00461250.wav|and we relied on everybody contributing financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00453420_00461250.wav|eventually everybody ended up broke and we relied on everybody contributing financially.  And at the same time I was wearing way too many hats.
wavs/9-7-18 clem interviewed by tara_1.wav-00466590_00474570.wav|with zero money and zero experience in the middle of nowhere.  And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00466770_00474570.wav|zero money and zero experience in the middle of nowhere.  And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00467610_00474570.wav|zero experience in the middle of nowhere.  And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00469470_00474570.wav|of nowhere.  And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00467880_00474570.wav|experience in the middle of nowhere.  And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00467490_00474570.wav|and zero experience in the middle of nowhere.  And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00467190_00474570.wav|money and zero experience in the middle of nowhere.  And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00468930_00474570.wav|the middle of nowhere.  And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00471300_00474570.wav|And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00469200_00474570.wav|middle of nowhere.  And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00468930_00474570.wav|in the middle of nowhere.  And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00469590_00474570.wav|nowhere.  And so a lot of these attempts were not terribly successful.
wavs/9-7-18 clem interviewed by tara_1.wav-00486750_00491880.wav|We we had one crew member, Gail, Baris that joined us.
wavs/9-7-18 clem interviewed by tara_1.wav-00484020_00491880.wav|work of Sea Shepherd.  We we had one crew member, Gail, Baris that joined us.
wavs/9-7-18 clem interviewed by tara_1.wav-00484380_00491880.wav|Sea Shepherd.  We we had one crew member, Gail, Baris that joined us.
wavs/9-7-18 clem interviewed by tara_1.wav-00484380_00491880.wav|of Sea Shepherd.  We we had one crew member, Gail, Baris that joined us.
wavs/9-7-18 clem interviewed by tara_1.wav-00485790_00491880.wav|Shepherd.  We we had one crew member, Gail, Baris that joined us.
wavs/9-7-18 clem interviewed by tara_1.wav-00489480_00497370.wav|Gail, Baris that joined us.  And she had worked on one of the Sea Shepherd vessels in Antarctica.
wavs/9-7-18 clem interviewed by tara_1.wav-00490590_00497370.wav|that joined us.  And she had worked on one of the Sea Shepherd vessels in Antarctica.
wavs/9-7-18 clem interviewed by tara_1.wav-00490980_00497370.wav|joined us.  And she had worked on one of the Sea Shepherd vessels in Antarctica.
wavs/9-7-18 clem interviewed by tara_1.wav-00490050_00497370.wav|Baris that joined us.  And she had worked on one of the Sea Shepherd vessels in Antarctica.
wavs/9-7-18 clem interviewed by tara_1.wav-00492330_00497370.wav|And she had worked on one of the Sea Shepherd vessels in Antarctica.
wavs/9-7-18 clem interviewed by tara_1.wav-00491460_00497370.wav|us.  And she had worked on one of the Sea Shepherd vessels in Antarctica.
wavs/9-7-18 clem interviewed by tara_1.wav-00506820_00514530.wav|of that.  So she, she had also been vegan, actually.
wavs/9-7-18 clem interviewed by tara_1.wav-00506700_00514530.wav|and all of that.  So she, she had also been vegan, actually.
wavs/9-7-18 clem interviewed by tara_1.wav-00509910_00514530.wav|So she, she had also been vegan, actually.
wavs/9-7-18 clem interviewed by tara_1.wav-00507090_00514530.wav|that.  So she, she had also been vegan, actually.
wavs/9-7-18 clem interviewed by tara_1.wav-00506820_00514530.wav|all of that.  So she, she had also been vegan, actually.
wavs/9-7-18 clem interviewed by tara_1.wav-00513210_00518429.wav|also been vegan, actually.  So she introduced me to a film, Earthlings.
wavs/9-7-18 clem interviewed by tara_1.wav-00512610_00518429.wav|she, she had also been vegan, actually.  So she introduced me to a film, Earthlings.
wavs/9-7-18 clem interviewed by tara_1.wav-00512850_00518429.wav|she had also been vegan, actually.  So she introduced me to a film, Earthlings.
wavs/9-7-18 clem interviewed by tara_1.wav-00514530_00518429.wav|So she introduced me to a film, Earthlings.
wavs/9-7-18 clem interviewed by tara_1.wav-00514110_00518429.wav|actually.  So she introduced me to a film, Earthlings.
wavs/9-7-18 clem interviewed by tara_1.wav-00513690_00518429.wav|vegan, actually.  So she introduced me to a film, Earthlings.
wavs/9-7-18 clem interviewed by tara_1.wav-00513510_00518429.wav|been vegan, actually.  So she introduced me to a film, Earthlings.
wavs/9-7-18 clem interviewed by tara_1.wav-00513059_00518429.wav|had also been vegan, actually.  So she introduced me to a film, Earthlings.
wavs/9-7-18 clem interviewed by tara_1.wav-00548790_00551520.wav|all we have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00548100_00551520.wav|that, you know, like all we have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00549420_00551520.wav|have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00550230_00551520.wav|for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00548220_00551520.wav|you know, like all we have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00548790_00551520.wav|we have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00547470_00551520.wav|out of that, you know, like all we have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00547140_00551520.wav|ones out of that, you know, like all we have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00550380_00551520.wav|you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00546840_00551520.wav|weird ones out of that, you know, like all we have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00549330_00551520.wav|to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00549930_00551520.wav|option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00549150_00551520.wav|have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00547470_00551520.wav|of that, you know, like all we have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00548340_00551520.wav|know, like all we have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00546750_00551520.wav|the weird ones out of that, you know, like all we have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00548550_00551520.wav|like all we have to have an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00549690_00551520.wav|extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00549600_00551520.wav|an extra option for you.  That's complicated.
wavs/9-7-18 clem interviewed by tara_1.wav-00578610_00586020.wav|course, dairy, fishing, etc, etc.  And, and it just shows how it is without any mask.
wavs/9-7-18 clem interviewed by tara_1.wav-00579270_00586020.wav|dairy, fishing, etc, etc.  And, and it just shows how it is without any mask.
wavs/9-7-18 clem interviewed by tara_1.wav-00578460_00586020.wav|of course, dairy, fishing, etc, etc.  And, and it just shows how it is without any mask.
wavs/9-7-18 clem interviewed by tara_1.wav-00580260_00586020.wav|fishing, etc, etc.  And, and it just shows how it is without any mask.
wavs/9-7-18 clem interviewed by tara_1.wav-00582090_00586020.wav|etc.  And, and it just shows how it is without any mask.
wavs/9-7-18 clem interviewed by tara_1.wav-00581430_00586020.wav|etc, etc.  And, and it just shows how it is without any mask.
wavs/9-7-18 clem interviewed by tara_1.wav-00582630_00586020.wav|And, and it just shows how it is without any mask.
wavs/9-7-18 clem interviewed by tara_1.wav-00583170_00590820.wav|and it just shows how it is without any mask.  So it's a very painful film to watch because there's a lot, a lot A lot of suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-00583590_00590820.wav|shows how it is without any mask.  So it's a very painful film to watch because there's a lot, a lot A lot of suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-00583920_00590820.wav|how it is without any mask.  So it's a very painful film to watch because there's a lot, a lot A lot of suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-00583170_00590820.wav|it just shows how it is without any mask.  So it's a very painful film to watch because there's a lot, a lot A lot of suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-00585330_00590820.wav|mask.  So it's a very painful film to watch because there's a lot, a lot A lot of suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-00583410_00590820.wav|just shows how it is without any mask.  So it's a very painful film to watch because there's a lot, a lot A lot of suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-00584220_00590820.wav|is without any mask.  So it's a very painful film to watch because there's a lot, a lot A lot of suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-00583920_00590820.wav|it is without any mask.  So it's a very painful film to watch because there's a lot, a lot A lot of suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-00584970_00590820.wav|any mask.  So it's a very painful film to watch because there's a lot, a lot A lot of suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-00584550_00590820.wav|without any mask.  So it's a very painful film to watch because there's a lot, a lot A lot of suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-00586470_00590820.wav|So it's a very painful film to watch because there's a lot, a lot A lot of suffering.
wavs/9-7-18 clem interviewed by tara_1.wav-00613590_00619800.wav|just fun you know, it's it.  Yeah, I just opened my eyes to it.
wavs/9-7-18 clem interviewed by tara_1.wav-00617100_00619800.wav|know, it's it.  Yeah, I just opened my eyes to it.
wavs/9-7-18 clem interviewed by tara_1.wav-00616920_00619800.wav|you know, it's it.  Yeah, I just opened my eyes to it.
wavs/9-7-18 clem interviewed by tara_1.wav-00618210_00619800.wav|Yeah, I just opened my eyes to it.
wavs/9-7-18 clem interviewed by tara_1.wav-00617340_00619800.wav|it's it.  Yeah, I just opened my eyes to it.
wavs/9-7-18 clem interviewed by tara_1.wav-00612930_00619800.wav|even just fun you know, it's it.  Yeah, I just opened my eyes to it.
wavs/9-7-18 clem interviewed by tara_1.wav-00612390_00619800.wav|you know, even just fun you know, it's it.  Yeah, I just opened my eyes to it.
wavs/9-7-18 clem interviewed by tara_1.wav-00614310_00619800.wav|fun you know, it's it.  Yeah, I just opened my eyes to it.
wavs/9-7-18 clem interviewed by tara_1.wav-00617940_00619800.wav|it.  Yeah, I just opened my eyes to it.
wavs/9-7-18 clem interviewed by tara_1.wav-00612720_00619800.wav|know, even just fun you know, it's it.  Yeah, I just opened my eyes to it.
wavs/9-7-18 clem interviewed by tara_1.wav-00618810_00624480.wav|opened my eyes to it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00617100_00624480.wav|know, it's it. Yeah, I just opened my eyes to it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00617340_00624480.wav|it's it. Yeah, I just opened my eyes to it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00621900_00625500.wav|I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00622530_00625500.wav|very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00619890_00625500.wav|So it's something I've always known, you know, I've been always very very compassionate towards animals.  I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00618210_00625500.wav|Yeah, I just opened my eyes to it. So it's something I've always known, you know, I've been always very very compassionate towards animals. I love animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00618540_00624480.wav|I just opened my eyes to it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00619140_00624480.wav|my eyes to it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
wavs/9-7-18 clem interviewed by tara_1.wav-00619350_00624480.wav|eyes to it.  So it's something I've always known, you know, I've been always very very compassionate towards animals.
